Id,Family,Genus,Subgenus,Species,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
25,Apidae,Amegilla,(Notomegilla),aeringinosa,0.428670441,0.062618888,0.283750869,0.03303656,0.259590744,-0.087066245,0.163797994,-0.167883142,-0.147283564,-0.190213581,-0.108382292,-0.12078244,-0.12654447,-0.037751464,-0.443495602,-0.04952791,-0.405291664,0.034090919,-0.120693548,0.099616116,-0.059814984,0.141613126,0.094116888,0.139674202,0.138947076,0.102802441,0.042632112,0.039772533
26,Apidae,Amegilla,(Notomegilla),aeringinosa,0.425906546,0.064272635,0.284228885,0.038684276,0.265742023,-0.08720012,0.153019215,-0.166314688,-0.151123838,-0.19176911,-0.113548223,-0.127770875,-0.127030526,-0.041252443,-0.437323024,-0.048096157,-0.402405505,0.03114932,-0.12731372,0.101161044,-0.062447739,0.144305588,0.097743204,0.13885445,0.147294974,0.098108201,0.047257729,0.045867878
27,Apidae,Amegilla,(Notomegilla),aeringinosa,0.427341466,0.070359292,0.287268649,0.036173687,0.26488635,-0.088089272,0.164005283,-0.163503629,-0.151450088,-0.188487271,-0.119333849,-0.127425562,-0.137017625,-0.037133489,-0.436861676,-0.04632,-0.400956328,0.03260475,-0.11282886,0.100332169,-0.062798308,0.138319608,0.096143325,0.136747131,0.141375903,0.093795181,0.040225757,0.042627406
28,Apidae,Amegilla,(Notomegilla),aeringinosa,0.424125185,0.058394074,0.291025947,0.039064871,0.261198157,-0.085275515,0.169557657,-0.158027913,-0.153198175,-0.187129043,-0.122619589,-0.119882264,-0.141716388,-0.029999467,-0.441865969,-0.049733942,-0.393835168,0.027147616,-0.124049736,0.091045904,-0.058989748,0.141615078,0.092330362,0.137670692,0.141600581,0.103272746,0.056436885,0.031837164
29,Apidae,Amegilla,(Notomegilla),aeringinosa,0.427218146,0.06783481,0.288582534,0.037449075,0.259486312,-0.087630718,0.160847108,-0.16141458,-0.160215554,-0.18735826,-0.116161402,-0.127633111,-0.135975705,-0.03974699,-0.433810333,-0.046188611,-0.403879449,0.025217359,-0.116134366,0.09847579,-0.05343684,0.140659443,0.092161325,0.139380413,0.143919618,0.099939442,0.047398605,0.041015936
30,Apidae,Amegilla,(Notomegilla),aeringinosa,0.43572113,0.060492551,0.289436786,0.034289621,0.26143801,-0.08337049,0.166687538,-0.157872313,-0.150844374,-0.182691938,-0.114149401,-0.118778449,-0.132853299,-0.037559934,-0.440707046,-0.045794201,-0.405106101,0.029974303,-0.117541264,0.096116109,-0.061138013,0.132705665,0.087197634,0.136680442,0.141148245,0.094582564,0.040710155,0.041226072
31,Apidae,Amegilla,(Notomegilla),aeringinosa,0.43197851,0.068882208,0.280479504,0.041743094,0.260329569,-0.083913975,0.165482827,-0.166433036,-0.152772454,-0.190856032,-0.117545868,-0.124252406,-0.131013827,-0.03207891,-0.443851458,-0.043058807,-0.399013308,0.034154348,-0.117891376,0.092217816,-0.057818534,0.135925963,0.096605493,0.136655284,0.144937662,0.097891808,0.04009326,0.033122645
48,Apidae,Amegilla,(Zonamegilla),asserta,0.440673428,0.066832438,0.2866523,0.029621409,0.255341361,-0.095749183,0.157040797,-0.164845015,-0.141131787,-0.184001666,-0.096428623,-0.13185182,-0.117468316,-0.04183771,-0.439113419,-0.038836441,-0.412661004,0.028279014,-0.123239866,0.105656886,-0.065507718,0.150033433,0.092430413,0.141420361,0.128561546,0.099479348,0.034850888,0.035798947
49,Apidae,Amegilla,(Zonamegilla),asserta,0.434955047,0.057070636,0.290655477,0.038450921,0.264906848,-0.093604602,0.176013487,-0.168601443,-0.146272098,-0.171545342,-0.099081071,-0.118153696,-0.121488519,-0.041287233,-0.430245277,-0.03412821,-0.420998961,0.032689684,-0.124830221,0.094809407,-0.072578675,0.133906209,0.082306343,0.139895805,0.13666304,0.094502191,0.029994578,0.035995673
50,Apidae,Amegilla,(Zonamegilla),asserta,0.417933021,0.059293953,0.293340279,0.034860942,0.266949476,-0.086090336,0.162404337,-0.159350233,-0.143321659,-0.177596665,-0.104910128,-0.12896556,-0.120807247,-0.042001236,-0.438475663,-0.042040368,-0.425691393,0.036133548,-0.112878252,0.097568474,-0.058119309,0.135568865,0.08493524,0.141383443,0.138343313,0.095688993,0.040297984,0.035546182
